dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
physionet_mi,CSP_Envelope_BPE_LogReg,1024,789,5fold-subject,3,0.25139664804469275,0.25157865217556413,0.2509513877298568,0.002090506555869953
physionet_mi,CSP_Envelope_BPE_LogReg,1024,789,5fold-subject,4,0.26369168356997974,0.26363256380003314,0.26348403632153106,0.018164012404691343
physionet_mi,CSP_Envelope_BPE_LogReg,1024,2024,5fold-subject,0,0.2658626114315679,0.2657352270036279,0.2650348317122522,0.020955325815271486
physionet_mi,CSP_Envelope_BPE_LogReg,1024,2024,5fold-subject,1,0.24377856780091417,0.24368923996443714,0.24344318507166213,-0.008373877985646816
physionet_mi,CSP_Envelope_BPE_LogReg,1024,2024,5fold-subject,2,0.25075834175935285,0.2508345735420044,0.25004829977367143,0.0009855883267081422
physionet_mi,CSP_Envelope_BPE_LogReg,1024,2024,5fold-subject,3,0.25088877602844084,0.25106741769216445,0.25038995924934915,0.0014042282950625928
physionet_mi,CSP_Envelope_BPE_LogReg,1024,2024,5fold-subject,4,0.26774847870182555,0.26762862773705615,0.2674685771800988,0.023481159380529748
physionet_mi,CSP_BPE_Seq_CNN,1024,42,5fold-subject,0,0.2517042475091767,0.2508437298545911,0.14886996965680688,0.0011301703734590829
physionet_mi,CSP_BPE_Seq_CNN,1024,42,5fold-subject,1,0.2468257998984256,0.24785895767490862,0.15255325602562242,-0.0028364210335438678
physionet_mi,CSP_BPE_Seq_CNN,1024,42,5fold-subject,2,0.24115267947421637,0.24153103365468168,0.15998117441999715,-0.011352162994796355
physionet_mi,CSP_BPE_Seq_CNN,1024,42,5fold-subject,3,0.25342813610970033,0.251868375471618,0.20446997912764803,0.002418792271996595
physionet_mi,CSP_BPE_Seq_CNN,1024,42,5fold-subject,4,0.2363083164300203,0.23642358524649976,0.16149056836917375,-0.018291888451985372
